"likely_id","cc_property_id","attom_id","broker","mls_name","status","date","year_built","StatusPrediction","Confidence","P(status=Active)Individualprobability","P(status=Sale)Individualprobability"
523190,7980356,166218373,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-23 00:00:00",,"Active",0.9349208293046554,0.9349208293046554,0.06507917069534458
22541821,496497618,10174430,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-22 00:00:00",,"Active",0.972130338009872,0.972130338009872,0.02786966199012795
17592353,325180322,,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-22 00:00:00",,"Active",0.9529813463831037,0.9529813463831037,0.047018653616896264
493538,7575812,27514117,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-23 00:00:00",,"Active",0.9339400127338423,0.9339400127338423,0.06605998726615767
25492401,7089206,41554222,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-08 00:00:00",,"Sale",0.9699750591924743,0.030024940807525734,0.9699750591924743
21936850,482894691,7167985,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-20 00:00:00",,"Active",0.9733761598262747,0.9733761598262747,0.0266238401737254
498096,7650443,165136757,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-23 00:00:00",,"Active",0.9349208293046554,0.9349208293046554,0.06507917069534458
498099,7650443,165136757,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-03 00:00:00",,"Active",0.6964890872408872,0.6964890872408872,0.3035109127591129
537735,8159399,166264425,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-17 00:00:00",,"Sale",0.9150516790257194,0.08494832097428051,0.9150516790257194
25593996,8026331,47679934,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-12 00:00:00",,"Sale",0.9691482979607063,0.03085170203929366,0.9691482979607063
478254,7393043,25617090,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-01 00:00:00",,"Sale",0.9346348467233863,0.0653651532766136,0.9346348467233863
475872,7352642,2924254,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-23 00:00:00",,"Active",0.9339400127338423,0.9339400127338423,0.06605998726615767
18037599,344550441,29893778,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-23 00:00:00",,"Active",0.9426446274915314,0.9426446274915314,0.05735537250846863
453559,7070660,47723757,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-22 00:00:00",,"Active",0.9359095703211474,0.9359095703211474,0.0640904296788527
26314104,7070660,47723757,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-21 00:00:00",,"Sale",0.9691482979607063,0.03085170203929366,0.9691482979607063
526906,8023223,52486127,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-19 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
454771,7085198,44404042,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-16 00:00:00",,"Sale",0.8270681042495798,0.17293189575042017,0.8270681042495798
25942194,7413884,148856405,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-05 00:00:00",,"Sale",0.9659798316261352,0.03402016837386478,0.9659798316261352
16783212,252157763,165965677,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
26780733,7782632,47813771,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-29 00:00:00",,"Sale",0.9692663819015718,0.03073361809842814,0.9692663819015718
16985654,279689840,166835770,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-22 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
453954,7075010,166812143,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-01 00:00:00",,"Sale",0.9514246133453212,0.04857538665467877,0.9514246133453212
25756693,7304171,47787715,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-15 00:00:00",,"Sale",0.9713128663447381,0.02868713365526181,0.9713128663447381
521375,7961873,167224875,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
499724,7672133,8174449,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-30 00:00:00",,"Sale",0.9586354757521787,0.041364524247821395,0.9586354757521787
505617,7751405,166195695,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
461747,7182410,166003241,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9749744209890437,0.9749744209890437,0.02502557901095623
25122449,6969617,167257586,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-01 00:00:00",,"Sale",0.9579960081662019,0.042003991833798174,0.9579960081662019
543833,8240723,47702245,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
489681,7532180,20442366,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
440201,6866687,166125327,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9387944323062953,0.9387944323062953,0.06120556769370464
25526796,7029299,3849354,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-11 00:00:00",,"Sale",0.9708532925082235,0.02914670749177644,0.9708532925082235
17024546,282741959,149084076,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.97599033021587,0.97599033021587,0.024009669784130033
26176957,278807177,141677525,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-12 00:00:00",,"Sale",0.9700932524992592,0.029906747500740953,0.9700932524992592
23223636,513392061,220527576,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9496017448115532,0.9496017448115532,0.05039825518844671
484615,7465520,5260772,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9743683491317233,0.9743683491317233,0.025631650868276654
25091179,544854453,324032182,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9567750925532195,0.9567750925532195,0.04322490744678055
499495,7670825,22479340,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-24 00:00:00",,"Active",0.9391641545225518,0.9391641545225518,0.060835845477448344
508905,7796108,,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-19 00:00:00",,"Active",0.9567750925532195,0.9567750925532195,0.04322490744678055
26209865,7796108,,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-12-18 00:00:00",,"Sale",0.9580050447036802,0.04199495529631973,0.9580050447036802
26194684,484997901,144730883,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-27 00:00:00",,"Sale",0.9686326419369237,0.03136735806307629,0.9686326419369237
465219,7221959,9223914,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.937868115583878,0.937868115583878,0.06213188441612207
26780580,7221959,9223914,"David Cavalier","North Texas Real Estate Information Systems","Sale","2017-11-03 00:00:00",,"Sale",0.9717555756712724,0.028244424328727712,0.9717555756712724
22536208,496415988,,"David Cavalier","North Texas Real Estate Information Systems","Active","2017-10-25 00:00:00",,"Active",0.9567750925532195,0.9567750925532195,0.04322490744678055
